Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-М01,2021-М02,2021-М03,2021-М04,2021-М05,2021-М06,2021-М07,2021-М08,2021-М09,2021-М10,2021-М11,2021-М12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03,2026-M04
013,1-nav bug'doy unidan non,Хлеб пшеничный из муки 1-го сорта,Wheat bread from 1st grade flour,1-нав буғдой унидан нон,3149.6,3127.4,3143.7,3150.2,3164.2,3164.1,3164.5,3170.5,3198.1,3205.9,3241.9,3250.4,3348.8,3359.9,3381.8,3405.8,3477.1,4493.2,4758.9,4798.9,4930.5,5142.5,5204.3,5258.6,5721.0,5716.0,5761.3,5786.2,5817.8,5815.7,5811.7,5799.2,5927.9,6072.2,6082.6,6099.0,6104.8,6082.0,6072.1,6131.9,6142.5,6136.8,6137.1,6145.3,6159.4,6171.9,6176.9,6185.1,6202.4,6205.8,6208.3,6225.3,6217.3,6213.8,6214.1,6223.6,6229.2,6282.9,6257.6,6266.3,6343.2,6350.0,6362.8,6378.8
017,Mol go'shti,Говядина,Beef,Мол гўшти,60889.9,61069.7,61248.2,62101.9,62867.8,63357.9,64833.9,66433.3,67466.5,67539.6,66946.5,66195.7,66281.0,66154.9,66041.2,65755.1,66072.5,66600.2,67478.6,68266.2,69667.6,71593.0,72386.8,72669.6,74049.7,74959.1,75353.0,76230.3,77385.4,78085.7,77946.2,78830.5,80111.4,80599.3,80537.2,80549.9,80610.5,80261.9,79715.7,79984.1,80512.1,80863.9,81838.5,85953.0,89238.3,90877.5,91592.2,91799.6,92201.6,95231.1,103510.0,108731.1,110473.2,111440.6,113321.7,115432.0,118808.9,120739.1,120849.1,120119.2,118082.8,120205.7,121132.3,125130.0
0020,Qo'y go'shti,Баранина,Mutton,Қўй гўшти,63272.6,63480.6,64162.3,64789.9,65652.3,66169.7,67063.7,68611.9,69300.6,69555.0,69668.0,68682.0,68429.5,68955.4,68866.6,68960.7,69889.5,70320.9,71215.6,72499.2,73088.7,74232.0,74790.6,75528.8,76274.4,77550.9,78197.4,79039.2,80329.2,81339.5,81619.9,81924.1,82623.3,82798.5,83386.4,83583.9,83283.0,82785.9,82181.6,82386.0,82866.4,83643.1,84825.2,88389.6,92428.5,94148.9,95021.0,95571.3,96303.6,99170.6,106916.2,113991.0,116297.6,118094.1,120103.9,122450.7,124485.7,126279.6,127078.7,127547.1,128232.3,130920.8,132123.6,136365.9
022,Tovuq go'shti,Мясо птицы,Poultry,Товуқ гўшти,22629.4,23527.6,23843.2,24077.5,24053.2,24076.1,24415.4,25343.8,25882.9,26040.7,27381.8,27077.1,26306.1,25825.4,25601.3,25968.4,26493.4,26699.6,26367.0,26343.4,26629.3,27759.1,28198.6,28480.3,30505.2,31258.4,31886.5,32195.4,32300.2,32506.8,32566.0,32723.3,33393.3,33398.5,33517.6,33828.3,34059.7,33739.0,33285.4,33160.9,32945.3,32872.9,32819.6,32761.6,32981.9,33018.0,33330.4,33409.7,33539.9,33702.1,34060.1,33969.7,34063.3,34235.2,34131.7,34925.9,36178.1,35992.0,35199.3,35115.0,35750.3,36357.0,36560.2,36588.6
026,Turli baliqlar,Рыба всякая,Fish of all kinds,Турли балиқлар,26825.6,27911.9,29641.9,31004.4,32240.2,33427.3,34220.0,32596.5,31152.6,30184.2,30580.9,30107.8,29396.3,29272.0,30040.0,30201.8,31348.1,33174.2,33471.4,35778.4,33561.4,34079.9,34203.4,34150.9,38410.0,39784.5,40227.9,41718.2,42505.7,42797.9,43434.0,43440.1,42865.5,42659.9,42773.8,42331.5,41802.5,41819.5,41849.1,42518.9,44126.9,44398.5,44301.9,44669.0,51106.9,51963.0,52519.4,58291.8,59447.8,59667.6,61267.0,66476.5,49461.7,47856.7,48774.1,49457.3,48508.8,48691.7,48268.3,48283.3,49483.7,49420.6,49593.0,50594.7
027,Yangi sog'ilgan sut (1 litr),Молоко свежее (1 литр),Fresh milk (1 liter),Янги соғилган сут (1 литр),6661.6,6818.0,7115.0,7266.8,7333.1,7415.0,7390.8,7416.5,7421.1,7427.2,7526.4,7569.3,7214.0,7412.0,7442.5,7389.5,7353.0,7282.0,7262.7,7335.4,7358.2,7519.0,7807.0,8000.9,8487.2,8927.5,9095.6,9493.4,9711.1,9804.4,9901.6,9952.7,10050.6,10101.1,10208.4,10267.0,8557.0,8109.8,8055.3,8091.1,8058.1,8011.5,7988.8,8017.7,8040.7,8100.5,8163.5,8218.4,8302.1,8218.5,8295.6,8340.1,8328.4,7678.0,7680.4,7654.7,7700.9,7743.2,7791.7,7926.0,8132.4,8153.0,8176.7,8181.7
034,Tuxum (10 dona),Яйца (10 штук),Eggs (10 pieces ),Тухум (10 дона),11864.5,11427.5,10896.4,11046.8,11274.7,10686.6,10265.8,10105.7,10266.4,10728.3,11655.2,11618.0,11357.1,10863.0,10512.6,10458.6,10300.0,10793.2,10830.3,10606.0,10959.0,12179.5,13516.5,14384.9,14919.4,15012.6,14509.3,14172.0,13760.8,12912.9,12245.8,12868.2,15262.8,15919.3,16452.8,16628.4,16976.1,15931.3,14901.2,13903.6,11913.9,11652.4,11332.6,11431.8,12074.1,12111.6,12441.7,14311.9,13368.7,12393.5,12718.9,12116.8,11579.7,11978.8,11904.5,12642.9,13886.9,14372.8,14538.8,14696.8,14698.1,14766.6,15210.7,14093.7
035,Paxta yog'i (1 litr),Масло хлопковое (1 литр),Cottonseed oil (1 liter),Пахта ёғи (1 литр),13219.7,13699.3,14114.6,16680.1,17834.8,17941.2,17988.9,17793.1,17653.7,17635.6,18224.1,18176.5,17101.1,17040.0,17209.2,17633.3,18117.4,18647.9,19144.0,19262.3,19286.9,19655.9,19507.7,19320.4,18925.2,18871.6,18685.8,18269.8,17712.1,17052.0,16503.2,16364.9,16406.0,16332.1,16208.3,15886.2,15645.1,14772.7,14176.8,13572.3,13495.6,13300.0,13352.4,13731.6,14291.3,14859.1,15730.8,16440.5,16714.2,16894.1,17367.7,18445.4,18963.0,19266.0,19422.5,19803.5,20094.2,20323.3,20343.2,20348.9,20387.2,20486.7,20622.4,20706.8
0036,Kungaboqar yog'i (1 litr),Масло подсолнечное (1 литр),Sunflower oil (1 liter),Кунгабоқар ёғи (1 литр),14651.5,15322.2,16222.7,19102.2,20188.8,20152.9,19840.8,19632.6,19571.4,19546.0,19568.9,19465.0,19802.2,19608.0,19742.2,20420.0,20889.5,21491.1,21710.8,21660.9,21586.7,21654.7,21535.3,21261.5,21389.6,21358.1,21131.9,20365.5,19540.4,18995.5,18449.3,18247.0,18224.8,18112.0,17988.8,17755.9,17524.3,17033.7,16604.1,16467.6,16497.2,16469.3,16640.8,17004.2,17598.7,18046.5,18747.8,19742.3,20064.7,20230.4,20313.8,21211.2,21664.3,21729.1,21864.1,22085.3,22400.0,22631.3,22705.9,22641.7,22093.8,22148.0,22219.5,22289.7
037,Sariyog',Масло сливочное,Butter,Сариёғ,52837.1,54054.0,54266.8,54452.1,54220.7,53909.5,54268.1,54455.2,54372.3,54336.2,54636.5,54528.8,51154.7,51012.2,51407.6,51739.1,51698.7,52037.3,52301.6,53109.5,53813.5,54867.0,56702.3,58126.9,66648.8,67704.4,69440.6,70389.6,70419.6,71027.9,71340.4,72165.9,72731.5,73178.3,73508.6,73658.5,74460.4,74426.6,74353.7,74651.9,74711.5,74918.9,75097.3,75324.4,83349.3,84682.9,86596.3,87465.0,86415.8,86806.7,89066.3,90434.5,91899.8,93122.4,94784.6,95905.1,96292.7,96326.8,97439.7,97775.7,91957.5,92972.1,92939.6,93394.8
039,Limon,Лимоны,Lemons,Лимон,20144.1,21229.0,21691.0,23206.3,23591.9,24098.1,29178.0,32487.9,29785.5,26160.7,23639.8,20858.9,20497.7,21062.2,20769.4,20870.3,23145.1,28093.8,33638.5,36159.5,29954.7,24045.9,18942.3,14771.7,13161.7,14599.1,15701.2,16773.3,21301.7,27280.5,30376.6,33240.4,37165.3,36409.1,31986.5,28061.5,27774.0,27969.6,29622.9,29594.3,29521.8,29178.4,29265.8,29202.1,28734.0,27174.8,24562.8,22131.8,22188.8,23629.4,25686.6,31606.3,36481.3,47033.3,62912.4,64155.1,50674.4,40633.2,37764.2,38065.1,39794.4,41253.0,42883.6,48144.1
0040,Olma,Яблоки,Apples,Олма,10881.9,10891.7,11457.7,13555.8,15947.4,16708.9,14616.6,13732.3,12274.9,11503.4,11725.9,12065.7,12345.7,12732.0,13015.5,13057.9,13324.1,12313.1,10085.3,9337.3,8916.1,8848.6,9230.5,9958.6,11214.6,11930.7,12318.2,12821.7,14227.8,13842.5,12932.0,12555.7,12273.2,12562.0,13652.7,14889.7,15782.1,16189.3,16289.8,16697.0,17324.1,17133.6,15224.0,14016.7,13267.4,12685.3,13099.2,13668.0,14254.5,14253.1,14281.1,14857.5,15804.9,15756.7,14218.5,13767.5,14152.4,14442.0,15365.7,16439.3,17346.3,18014.2,18818.4,20039.4
041,Nok,Груши,Pears,Нок,21611.5,23774.3,25948.8,28767.1,29906.4,29633.1,24946.6,21921.6,20596.8,20425.9,21806.9,23219.2,24626.3,25290.0,25497.9,25608.4,26337.7,26418.6,21395.6,18614.6,17917.6,18604.4,19446.4,21172.7,23944.3,25727.3,27686.4,29909.1,30971.0,30671.1,28919.7,27504.4,26075.1,25764.7,26294.8,27088.5,28153.0,27857.3,27478.7,27171.9,26907.9,26305.9,24629.3,22906.4,21851.0,21789.2,21608.7,21905.6,22119.5,22422.4,22836.0,23078.1,23282.4,23490.4,23295.5,23248.2,23174.2,22837.7,22668.1,22868.3,22547.6,22554.2,22812.9,22666.9
049,Uzum,Виноград,Grape,Узум,19142.1,23207.8,29496.6,31994.6,50825.2,21223.8,12610.9,11083.6,10111.2,10145.8,11110.6,12860.1,15246.3,16414.5,17163.9,19340.0,18013.8,16165.2,11550.6,9809.5,9185.3,9224.0,10561.5,13383.4,17771.4,20578.4,22873.9,25673.8,26167.5,22567.6,19889.6,18391.8,20262.6,24616.1,30932.5,34681.8,37405.2,38947.4,40833.0,42305.0,43914.8,31688.9,16651.2,14803.0,13962.1,14046.3,17094.6,22202.4,26229.6,27778.4,33432.7,38248.9,41903.2,26508.2,16224.1,16077.8,15504.3,17099.5,19371.1,22902.6,26582.3,28373.8,29805.1,29720.1
0050,Tarvuz,Арбуз,Watermelon,Тарвуз,3447.7,2614.8,2813.4,21990.0,16798.9,3242.8,1691.3,1604.4,1833.4,2129.1,2656.2,3003.5,3337.6,3103.4,4401.4,5000.0,12033.3,3923.0,1844.6,1880.2,1948.1,2049.6,2486.5,2969.1,3955.8,6093.3,12333.2,37555.5,12789.6,2655.0,2544.5,2291.8,2450.9,2797.1,4039.0,5813.3,8783.1,12434.4,14130.2,53091.7,12634.5,4866.6,1919.2,1279.3,1733.3,2270.0,2775.4,3214.2,3901.9,5410.6,0.0,0.0,10968.5,2918.0,2121.1,3048.7,3222.5,3710.7,4488.9,5691.1,6238.6,0.0,0.0,0.0
