Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2019,2020,2021,2022,2023,2024
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,3960.0,3960.0,3960.0,4162.0,4007.0,4111.0
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,3066.0,3056.0,3056.0,3069.0,3081.0,3101.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,3204.0,3161.0,3161.0,3191.0,3256.0,3256.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,1766.0,1682.0,1682.0,1682.0,1682.0,1691.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,1334.0,1227.0,1227.0,1229.0,1318.0,1327.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,1585.0,1491.0,1491.0,1491.0,2158.0,2173.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,2814.0,2687.0,2687.0,2709.0,2885.0,2915.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,2846.0,2751.0,2751.0,6216.0,6322.0,6356.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,3018.0,2737.0,2737.0,2763.0,2763.0,2782.0
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,2846.0,2800.0,2800.0,2817.0,2975.0,3000.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,5120.0,5293.0,7689.0,8133.0,9466.0,10647.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,451.0,497.0,604.0,652.0,565.0,681.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,10.0,10.0,24.0,35.0,961.0,970.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,53.0,53.0,58.0,58.0,89.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,186.0,198.0,649.0,653.0,521.0,521.0
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,637.0,652.0,929.0,943.0,934.0,1042.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,1169.0,1178.0,1191.0,1199.0,1230.0,1401.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,1107.0,1158.0,1518.0,1760.0,1976.0,2273.0
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,308.0,272.0,701.0,745.0,755.0,1151.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,21.0,21.0,28.0,28.0,26.0,60.0
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,53.0,56.0,64.0,67.0,402.0,403.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,1178.0,1198.0,1928.0,1993.0,2038.0,2056.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,25324.0,28808.0,30759.0,32440.0,33228.0,33619.0
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,10295.0,10917.0,11449.0,11902.0,12214.0,12389.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,1132.0,1250.0,1314.0,1375.0,1436.0,1455.0
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,1717.0,1877.0,1949.0,2047.0,2115.0,2149.0
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,982.0,1075.0,1128.0,1186.0,1237.0,1272.0
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,1269.0,1297.0,1297.0,1342.0,1342.0,1349.0
1714219,Pop tumani,Папский район,Pop district,Поп тумани,1250.0,1834.0,2121.0,2204.0,2256.0,2260.0
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,1279.0,1961.0,2174.0,2200.0,2214.0,2218.0
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,1228.0,1587.0,1713.0,1804.0,1875.0,1916.0
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,784.0,941.0,1172.0,1347.0,1388.0,1399.0
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,1758.0,1821.0,1934.0,1994.0,1994.0,1998.0
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,2034.0,2139.0,2287.0,2676.0,2744.0,2773.0
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,1596.0,2109.0,2221.0,2363.0,2413.0,2441.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,97.0,383.0,99173.0,99169.0,100250.0,100664.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,6.0,37.0,12241.0,12241.0,12241.0,13026.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,2.0,0.0,1034.0,1034.0,1034.0,1040.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,0.0,0.0,4475.0,4475.0,4475.0,4415.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,5.0,8.0,3371.0,3371.0,3492.0,3518.0
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,0.0,0.0,6108.0,6104.0,6104.0,6014.0
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,0.0,16.0,5392.0,5392.0,5392.0,5380.0
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,36.0,64.0,9016.0,9016.0,9596.0,9465.0
1718216,Qo‘shrabot tumani,Кошрабадский район,Koshrabad district,Қўшработ тумани,0.0,0.0,874.0,874.0,1254.0,1257.0
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,0.0,0.0,6566.0,6566.0,6566.0,6568.0
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,0.0,18.0,12313.0,12313.0,12313.0,12341.0
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,0.0,39.0,3205.0,3205.0,3205.0,3201.0
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,0.0,0.0,6922.0,6922.0,6922.0,6818.0
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,20.0,39.0,8247.0,8247.0,8247.0,8178.0
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,0.0,0.0,1330.0,1330.0,1330.0,1331.0
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,19.0,123.0,6498.0,6498.0,6498.0,6432.0
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,9.0,39.0,11581.0,11581.0,11581.0,11680.0
