Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2021-M01,2021-M02,2025-M01.1,2025-M02.1,2025-M03.1,2021-M03,2021-M04,2021-M05,2021-M06,2021-M07,2021-M08,2021-M09,2021-M10,2021-M11,2021-M12,2022-M01,2022-M02,2022-M03,2022-M04,2022-M05,2022-M06,2022-M07,2022-M08,2022-M09,2022-M10,2022-M11,2022-M12,2023-M01,2023-M02,2023-M03,2023-M04,2023-M05,2023-M06,2023-M07,2023-M08,2023-M09,2023-M10,2023-M11,2023-M12,2024-M01,2024-M02,2024-M03,2024-M04,2024-M05,2024-M06,2024-M07,2024-M08,2024-M09,2024-M10,2024-M11,2024-M12,2025-M01,2025-M02,2025-M03,2025-M04,2025-M05,2025-M06,2025-M07,2025-M08,2025-M09,2025-M10,2025-M11,2025-M12,2026-M01,2026-M02,2026-M03
036,Avstraliya,Австралия,Australia,Aвстралия,497.3,2448.6,122.9,378.7,977.4,2944.1,3170.0,3578.0,3641.7,4286.2,4291.0,4503.4,4820.1,5627.4,8267.2,1850.5,2647.9,3519.2,3911.2,3944.0,3981.5,4297.5,4356.5,4391.4,4515.4,4579.0,5063.4,180.8,242.5,945.8,1222.8,1268.3,993.6,1071.6,1164.5,1223.8,1260.0,1275.6,11636.5,134.6,305.4,395.0,268.3,846.1,956.2,1168.9,1347.1,1374.6,1762.2,1777.1,1904.9,90.9,170.6,1678.1,1966.0,2178.3,2460.0,2795.9,3461.1,5019.6,5651.1,5780.6,6265.3,122.87896130000001,378.675566,977.4
040,Avstriya,Австрия,Austria,Aвстрия,6611.7,15737.8,39057.9,56807.1,71614.9,26096.4,34635.3,41069.6,50702.7,57738.0,65758.4,70876.0,81142.7,90484.8,98022.2,5101.2,19030.5,28582.0,39728.1,44441.3,51932.9,57058.7,63279.5,68145.8,77920.1,84088.9,119205.3,11337.4,27272.5,39371.8,46670.8,73704.4,84435.4,93079.8,119037.9,132776.6,150368.2,157460.2,174880.6,14504.1,29000.7,42876.2,51035.4,86986.0,114569.9,130631.9,146493.8,156205.5,174139.6,183122.9,197563.9,21939.8,44261.8,59372.4,77992.1,105583.1,122350.5,164697.7,191295.6,216341.9,241778.9,294888.6,347959.0,39057.884646399994,56807.09412690002,71614.9
012,Jazoir,Алжир,Algeria,Жазоир,2394.1,2476.7,0.0,72.8,206.0,2478.6,2549.5,2549.5,2549.5,2549.5,2549.8,2549.9,2549.9,2558.0,2571.9,0.0,32.1,32.1,71.2,71.8,71.8,113.1,113.8,113.8,113.8,113.8,269.7,0.0,0.4,17.6,18.1,18.1,18.1,18.2,18.2,18.3,18.3,21.3,21.3,0.0,6.3,6.3,6.3,11.7,107.9,127.1,224.4,224.4,323.1,323.1,323.1,10.3,10.3,10.3,10.3,40.5,40.6,40.9,40.9,113.8,113.8,114.2,114.2,0.0265,72.76650000000001,206.0
051,Armaniston,Армения,Armenia,Aрманистон,147.5,319.6,2373.5,3867.3,7260.0,571.9,907.6,1138.6,1425.0,1690.3,1962.7,2301.3,2501.9,2797.8,2998.4,315.9,974.5,1008.0,1288.1,1835.3,2154.6,2337.8,2890.7,3241.5,4223.4,4781.7,5146.5,539.7,1311.0,1362.5,2511.3,3547.7,4643.4,5413.2,5893.4,6180.9,6700.4,8300.2,9520.7,450.6,852.6,1405.1,1841.7,2586.2,3648.5,4420.8,5104.0,5340.1,6123.7,6591.6,7395.8,852.6,1594.8,2624.5,3286.2,4841.9,5239.0,6076.2,6985.4,7957.1,9176.5,10271.0,12304.0,2373.4654800000003,3867.3325242,7260.0
050,Bangladesh,Bangladesh,Bangladesh,Бангладеш,1744.4,3176.1,5314.7,11932.8,15509.1,6079.0,7420.0,8428.8,10055.8,10924.1,13031.8,14516.4,16261.2,16893.3,18367.5,1626.6,4136.1,5663.0,6716.5,7679.9,9909.4,13693.3,16498.5,17809.9,19717.7,22378.3,25220.5,1450.4,5324.7,6936.7,8295.0,12677.5,14927.9,17639.5,20875.2,23655.0,26319.7,30173.9,33229.4,3752.9,7458.4,10438.2,14487.0,18198.6,23772.8,26324.2,30674.9,33183.9,37601.8,42002.5,46263.8,5620.3,8667.9,12817.7,17363.3,21624.3,24716.0,27349.6,32820.2,42869.6,46956.0,51475.2,56535.3,5314.686670000002,11932.819670000015,15509.1
056,Belgiya,Бельгия,Belgium,Белгия,7271.6,14337.2,8379.6,13342.2,20838.7,22639.5,27138.4,32912.7,37554.7,41005.4,45283.8,47830.3,53176.9,56742.7,63582.1,4545.6,9477.0,14559.2,19029.4,23045.7,30712.0,35514.9,43122.7,52735.7,58731.4,72774.8,95528.0,5294.2,12567.2,20416.0,26083.0,35104.2,43221.6,49097.1,59006.2,67272.1,88745.3,102910.6,129081.3,6074.1,15720.7,19299.7,33636.3,44142.3,48921.0,55771.6,63112.4,71585.4,92805.9,125163.1,135357.9,5995.7,13520.5,22896.6,31569.8,38684.0,64221.0,72795.1,80543.0,90040.3,99550.9,106322.4,114025.0,8379.622191399996,13342.176045199993,20838.7
372,Irlandiya,Ирландия,Ireland,Ирландия,1211.4,6207.5,12813.5,21229.4,37068.1,10666.7,15005.3,18371.1,22650.7,28445.6,34349.8,38055.8,42398.0,45385.1,51399.1,2564.2,5542.5,12020.9,18965.2,24389.0,30781.7,42349.0,49345.8,54949.4,60418.7,67194.0,78250.1,3427.7,8305.4,17850.9,23496.0,44043.7,49230.9,65736.5,76040.4,83751.0,94187.0,102183.9,119857.3,7537.1,21530.3,33475.5,41525.8,48543.5,55486.4,90426.5,127941.6,133163.5,144441.1,153160.7,159649.3,3588.9,8403.6,16655.9,24601.9,34634.3,45370.3,57281.7,69240.5,79662.5,97700.4,107896.6,121385.8,12813.548617600003,21229.357120900007,37068.1
724,Ispaniya,Испания,Spain,Испания,4159.9,8985.6,11239.0,27308.2,35350.2,19661.6,22686.6,29203.2,32094.3,65790.6,71552.6,73640.5,145347.7,148431.7,153386.9,1933.0,3994.5,5486.8,9528.2,12592.8,15086.1,17770.1,19925.5,22627.5,27053.8,30330.8,35420.6,6730.8,13768.7,18241.3,23570.9,28209.5,33179.6,39025.2,46517.5,54589.8,60522.6,65505.8,73367.5,10787.7,16821.9,24337.6,32314.8,36462.7,40847.8,46890.3,52831.9,56074.9,60791.7,67169.5,73857.6,9488.8,13007.4,17976.9,27075.4,33561.9,42357.5,52805.9,60627.8,69042.5,78972.7,86620.5,97451.3,11238.993344299999,27308.190037399992,35350.2
124,Kanada,Канада,Canada,Канада,2482.1,3977.5,2365.5,6330.6,10353.3,5032.3,7280.7,8866.9,10119.7,11226.8,12394.0,13373.9,14749.4,15856.7,17110.6,1420.6,2321.0,3466.3,5238.9,5975.9,7116.0,9219.1,11110.0,13034.9,14907.2,17076.9,18466.5,1893.0,3168.1,4820.3,5920.5,7725.2,9676.4,11014.7,12469.1,13513.4,15906.7,19923.6,21075.8,792.9,3493.8,4409.2,5092.8,7181.9,8039.3,11018.1,15587.7,17201.9,19128.7,20544.2,22162.9,2229.3,3853.8,5257.9,7389.8,9852.3,13366.3,15810.6,18342.5,21987.8,23944.4,28694.2,31714.0,2365.533837699999,6330.583967699993,10353.3
440,Litva,Литва,Lithuania,Литва,45266.5,76038.9,22739.4,49900.5,59031.5,93346.1,119747.9,160798.4,200578.8,224661.8,269461.5,300320.1,342217.3,396470.6,438709.8,32779.0,54676.2,80837.8,130840.2,150970.2,194354.4,235260.9,266317.9,301483.9,334424.4,366110.9,400516.7,105043.7,145960.3,180287.0,196517.5,268338.6,290084.5,322998.9,372358.3,411878.0,402514.6,437628.8,481943.1,55220.0,98479.0,162247.6,194112.9,230286.0,264844.0,292683.4,317186.5,341432.3,374581.4,398312.9,430269.5,36251.0,62664.9,88033.0,110580.6,128850.8,148674.0,170590.9,184798.5,200819.1,225431.2,242076.0,260244.6,22739.378472600005,49900.50513469995,59031.5
498,Moldova,Республика Молдова,Republic of Moldova,Молдова,445.7,684.9,4688.4,9201.2,10002.6,1114.5,1717.8,2098.2,2974.1,3400.7,3640.1,4309.3,4976.5,5747.8,6628.3,404.2,1223.0,2030.8,2651.1,3526.7,3584.6,3891.1,4780.8,4832.3,5146.7,5806.3,6425.0,348.7,2513.4,3130.3,3568.5,4602.0,4914.9,5635.7,6158.0,7177.3,7378.1,8024.6,8939.7,304.8,636.1,895.3,1232.8,1484.2,1631.5,1959.6,2130.0,2793.1,2871.5,3002.6,3240.5,626.5,1079.0,1459.0,2013.4,2274.4,2936.4,3824.4,4623.2,5252.9,7737.8,13074.1,16434.8,4688.374863500001,9201.186327100004,10002.6
528,Niderlandiya,Нидерланды,Netherlands,Нидерландия,9945.7,37680.0,12025.0,26107.4,48572.2,62088.1,73504.2,89047.7,109372.5,131112.2,148776.1,171086.6,188394.6,206342.7,217968.4,11685.8,22849.4,31245.7,46730.0,58395.4,72686.1,86329.0,105839.6,118063.4,130847.1,154266.7,177951.3,16702.4,33670.1,45855.9,61565.0,85219.3,97885.3,115179.1,134981.1,154600.5,171979.3,194186.6,217751.1,26214.6,43831.4,60019.2,73090.3,103012.3,119684.7,144748.7,160552.8,178849.5,196893.9,227577.3,245410.6,17780.8,30068.8,53532.1,85450.6,110544.5,132628.6,148435.3,160548.1,186669.5,201202.6,223384.4,241389.9,12024.965426000002,26107.40789229999,48572.2
616,Polsha,Польша,Poland,Полша,13054.6,23618.3,25211.9,39315.7,57029.7,31788.3,43707.9,53806.4,65084.7,73902.3,92843.2,106205.1,120479.7,134002.3,160344.1,15085.7,32431.0,46343.6,61498.9,74100.0,89793.7,101649.9,121851.8,139072.7,164659.1,188979.3,213578.9,26894.0,56426.0,81149.1,104598.5,136146.6,156771.1,180804.7,209722.7,231834.8,258210.8,284613.0,315171.3,19992.2,41268.6,67065.1,91163.9,113742.6,134033.6,159276.7,181293.7,202391.5,229243.5,252565.9,285554.1,25815.8,42369.9,59008.7,79298.6,104971.9,127734.7,150807.5,172517.7,192987.3,216898.4,233681.1,257351.3,25211.857082800034,39315.7172914,57029.7
752,Shvetsiya,Швеция,Sweden,Швеция,1112.4,2397.1,3844.2,6799.4,10058.7,4143.8,12748.6,16082.3,18439.3,20723.1,22335.8,26651.8,28527.8,31120.3,32995.1,1292.1,2597.0,4766.9,6509.8,8578.3,10719.6,45463.9,47931.1,50639.2,53757.8,58272.5,60568.2,7154.7,11693.3,14928.1,17093.3,19931.3,23366.4,26263.9,28957.1,31508.1,34260.5,36947.1,39080.4,2100.7,3668.3,6073.9,8940.9,13763.5,16346.8,19262.7,22842.5,25424.3,29317.3,32647.2,36900.4,3532.7,5308.1,8192.4,14982.4,17874.3,20917.2,24814.9,28094.4,30855.8,35106.0,39511.8,46101.5,3844.1945365999986,6799.448716000002,10058.7
