Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86,1.86
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.67,2.87,2.87
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.71,0.51,0.51
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56,9.56
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,28.58,28.58,28.58,28.58,28.58,28.58,28.59,28.57,28.57,28.57,28.57,28.57,28.57,28.57
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.71,1.71
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.66
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,1.13,1.13,1.13
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,1.66,1.66,1.66,1.66,1.66,1.66,1.62,1.62,1.62,1.62,1.61,1.62,1.62,1.62
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,110.99,110.99,110.99,110.99,110.99,110.99,110.99,111.1,111.1,111.1,111.1,111.1,111.1,111.1
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.59,0.59,0.59,0.59,0.59
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,9.14,9.14,9.14,9.14,9.14,9.14,9.14,9.25,9.25,9.25,9.25,9.25,9.25,9.25
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.04,5.94,5.94,5.94,5.94,5.94
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.49,42.48,42.49,42.49
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63,46.63
