Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.16,1.16,1.16,1.11,1.16,1.16
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.83,1.83,1.83,2.1,1.83,1.83
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.38,0.38,0.38,0.39,0.38,0.38
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.82,3.82,3.82,3.93,3.82,3.82
1722220,Termiz tumani,Термезский район,Termiz district,Термиз тумани,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.83,0.83,0.84,0.84,0.83,0.83
1722221,Uzun tumani,Узунский район,Uzun district,Узун тумани,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.63,1.84,1.84,1.84,1.63,1.84,1.84
1722223,Sherobod tumani,Шерабадский район,Sherabad district,Шеробод тумани,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,Шўрчи тумани,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.72,0.72,0.72,0.85,0.72,0.72
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
1724401,Guliston shahri,Город Гулистан,Gulistan city,Гулистон шаҳри,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
1724410,Shirin shahri,Город Ширин,Shirin city,Ширин шаҳри,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1724413,Yangiyer shahri,Город Янгиер,Yangier city,Янгийер шаҳри,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,Оқолтин тумани,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1724212,Boyovut tumani,Баяутский район,Bayaut district,Боёвут тумани,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,Сайхунобод тумани,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1724220,Guliston tumani,Гулистанский район,Gulistan district,Гулистон тумани,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1724226,Sardoba tumani,Сардобский район,Sardoba district,Сардоба тумани,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,Мирзаобод тумани,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,Сирдарё тумани,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1724235,Xovos tumani,Хавасский район,Khovos district,Ховос тумани,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,15.24,15.24,15.24,15.24,15.24,15.24,15.24,15.25,15.25,15.23,15.14,15.14,15.14,15.14
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,Нурафшон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,Олмалиқ шаҳри,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13,0.1,0.1
1727407,Angren shahri,Город Ангрен,Angren city,Aнгрен шаҳри,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.17,0.16,0.17,0.17
1727413,Bekobod shahri,Город Бекабад,Bekabad city,Бекобод шаҳри,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,Чирчиқ шаҳри,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05,0.05
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,Оҳангарон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1727424,Yangiyo‘lshahri,Город Янгиюль,Yangiyul city,Янгийўлшаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1727206,Oqqo‘rg‘on tumani,Аккурганский район,Akkurgan district,Оққўрғон тумани,0.4,0.4,0.4,0.4,0.4,0.4,0.38,0.38,0.38,0.38,0.38,0.4,0.38,0.38
1727212,Ohangaron tumani,Ахангаранский район,Akhangaran district,Оҳангарон тумани,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.2,3.17,3.2,3.2
1727220,Bekobod tumani,Бекабадский район,Bekabad district,Бекобод тумани,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75
1727224,Bo‘stonliq tumani,Бостанлыкский район,Bostanlyk district,Бўстонлиқ тумани,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.92,4.92,4.92,4.92
1727228,Bo‘ka tumani,Букинский район,Buka district,Бўка тумани,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
1727233,Quyichirchiq tumani,Куйичирчикский район,Kuyichirchik district,Қуйичирчиқ тумани,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
1727237,Zangiota tumani,Зангиатинский район,Zangiata district,Зангиота тумани,0.38,0.38,0.38,0.38,0.38,0.38,0.22,0.22,0.22,0.21,0.19,0.19,0.19,0.19
1727239,Yuqorichirchiq tumani,Юкоричирчикский район,Yukorichirchik district,Юқоричирчиқ тумани,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.46,0.44,0.46,0.46
1727248,Qibray tumani,Кибрайский район,Kibray district,Қибрай тумани,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.48,0.48,0.48,0.48
1727249,Parkent tumani,Паркентский район,Parkent district,Паркент тумани,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.09,1.08,1.09,1.09
1727250,Piskent tumani,Пскентский район,Piskent district,Пискент тумани,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.76,0.79,0.79
1727253,O‘rtachirchiq tumani,Уртачирчикский район,Urtachirchik district,Ўртачирчиқ тумани,0.49,0.49,0.49,0.49,0.49,0.49,0.46,0.46,0.46,0.44,0.41,0.43,0.4,0.4
1727256,Chinoz tumani,Чиназский район,Chinaz district,Чиноз тумани,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1727259,Yangiyo‘l tumani,Янгиюльский район,Yangiyul district,Янгийўл тумани,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41
1727265,Toshkent tumani,Ташкентский район,Tashkent district,Тошкент тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76
1730401,Farg‘ona shahri,Город Фергана,Fergana city,Фарғона шаҳри,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.11,0.11
1730405,Qo‘qon shahri,Город Коканд,Kokand city,Қўқон шаҳри,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.06
1730408,Quvasoy shahri,Город Кувасай,Kuvasay city,Қувасой шаҳри,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
1730412,Marg‘ilon shahri,Город Маpгилан,Margilan city,Марғилон шаҳри,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05
1730203,Oltiariq tumani,Алтыарыкский район,Altyaryk district,Олтиариқ тумани,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
1730206,Qo‘shtepa tumani,Куштепинский район,Kushtepa district,Қўштепа тумани,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
1730209,Bog‘dod tumani,Багдадский район,Baghdad district,Боғдод тумани,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.34
1730212,Buvayda tumani,Бувайдинский район,Buvayda district,Бувайда тумани,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
1730215,Beshariq tumani,Бешарыкский район,Besharik district,Бешариқ тумани,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
1730218,Quva tumani,Кувинский район,Kuva district,Қува тумани,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
1730221,Uchko‘prik tumani,Учкуприкский район,Uchkuprik district,Учкўприк тумани,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27
1730224,Rishton tumani,Риштанский район,Rishtan district,Риштон тумани,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
1730226,So‘x tumani,Сохский район,Sokh district,Сўх тумани,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
1730227,Toshloq tumani,Ташлакский район,Tashlak district,Тошлоқ тумани,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
1730230,O‘zbekiston tumani,Узбекистанский район,Uzbekistan district,Ўзбекистон тумани,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.67,0.67,0.67
1730233,Farg‘ona tumani,Ферганский район,Fergana district,Фарғона тумани,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.59,0.59,0.59
1730236,Dang‘ara tumani,Дангаринский район,Dangara district,Данғара тумани,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,6.06,6.06,6.06,6.06,6.06,6.06,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05
1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.45,0.44,0.44,0.44
1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
1733212,Qo‘shko‘pir tumani,Кошкупырский район,Kushkupyr district,Қўшкўпир тумани,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
1733217,Urganch tumani,Ургенчский район,Urgench district,Урганч тумани,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1733220,Xazorasp tumani,Хазараспский район,Khazarasp district,Хазорасп тумани,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,0.13,0.13,0.45,0.45,0.45
1733221,Tuproqqal’a tumani,Тупроккалинский район,Tuprakkala district,Тупроққалъа тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,1.61,1.6,1.6
1733223,Xonqa tumani,Ханкинский район,Khanka district,Хонқа тумани,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1733226,Xiva tumani,Хивинский район,Khiva district,Хива тумани,0.47,0.47,0.47,0.47,0.47,0.47,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1733230,Shovot tumani,Шаватский район,Shavat district,Шовот тумани,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
1733233,Yangiariq tumani,Янгиарыкский район,Yangiaryk district,Янгиариқ тумани,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1733236,Yangibozor tumani,Янгибазарский район,Yangibazar district,Янгибозор тумани,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.34,0.34,0.36,0.45,0.45,0.45,0.45
1726262,Uchtepa tumani,Учтепинский район,Uchtepa district,Учтепа тумани,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.03,0.03,0.03,0.03
1726264,Bektemir tumani,Бектемирский район,Bektemir district,Бектемир тумани,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.018,0.03,0.03,0.03,0.03
1726266,Yunusobod tumani,Юнусабадский район,Yunusabad district,Юнусобод тумани,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.04,0.04,0.04,0.04
1726269,Mirzo Ulug‘bek tumani,Мирзо Улугбекский район,Mirzo Ulugbek district,Мирзо Улуғбек тумани,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.06,0.06,0.06,0.06
1726273,Mirobod tumani,Мирабадский район,Mirabad district,Миробод тумани,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.02,0.02,0.02,0.02
1726277,Shayxontoxur tumani,Шайхантахурский район,Shaykhantakhur district,Шайхонтохур тумани,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.03,0.03,0.03,0.03
1726280,Olmazor tumani,Алмазарский район,Almazar district,Олмазор тумани,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.03,0.03,0.03,0.03
1726283,Sirg‘ali tumani,Сергелийский район,Sergeli district,Сирғали тумани,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.03,0.06,0.06,0.05,0.05
1726287,Yakkasaroy tumani,Яккасарайский район,Yakkasaray district,Яккасарой тумани,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.01,0.01,0.01,0.01
1726290,Yashnobod tumani,Яшнободский район,Yashnabad district,Яшнобод тумани,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.07,0.07,0.07,0.07
1726292,Yangihayot tumani,Янгихаётский район,Yangikhayot district,Янгиҳаёт тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.04,0.04,0.04,0.04
1726294,Chilonzor tumani,Чиланзарский район,Chilanzar district,Чилонзор тумани,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
