Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2024-М01,2024-М02,2024-М03,2024-М04,2024-М05,2024-М06,2024-М07,2024-М08,2024-М09,2024-М10,2024-М11,2024-М12,2025-М01,2025-М02,2025-М03,2025-М04,2025-М05,2025-М06,2025-М07,2025-М08,2025-М09,2025-М10,2025-М11,2025-М12,2026-М01,2026-М02,2026-М03,2026-М04
01.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,99.33,100.08,100.75,99.7,101.75,100.36,99.7,99.86,100.35,101.93,98.63,99.63,100.26,95.4,99.78,101.77,100.32,100.0,100.82,100.39,100.08,99.93,100.5,100.49,100.1,100.0,100.7,101.1
01.10,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,99.59,99.07,100.97,100.47,99.26,98.34,99.04,99.68,99.67,99.33,98.33,98.98,99.29,94.05,98.42,101.19,100.0,100.0,100.44,99.78,100.03,100.41,100.31,100.35,100.5,100.1,100.7,100.9
01.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,100.0,100.41,100.0,99.61,101.25,99.83,100.15,100.95,100.62,100.54,100.64,100.04,100.07,99.96,99.91,100.0,99.91,100.5,99.71,100.18,100.24,100.43,100.29,100.94,100.2,100.0,100.3,100.3
01.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,100.0,100.32,100.0,98.69,100.0,99.33,100.0,100.0,100.52,101.97,100.0,99.43,100.0,100.0,99.44,100.0,100.33,100.56,99.63,100.16,100.0,100.76,100.88,100.41,100.0,100.1,100.2,101.0
01.13,Obinon,Лепешки,Flatbreads,Обинон,100.0,100.0,101.93,99.72,99.97,99.96,100.59,100.0,100.0,101.15,99.29,100.0,100.0,100.16,100.79,100.08,100.0,100.3,100.43,100.22,99.95,100.01,100.0,100.0,100.3,100.0,100.0,100.0
01.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,100.1,101.26,100.0,101.58,99.78,100.0,100.0,100.17,100.0,100.91,100.15,100.28,100.0,100.0,100.57,100.28,99.86,100.29,100.01,99.99,99.91,99.97,100.75,99.99,100.2,100.6,99.9,100.5
01.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",100.0,102.1,99.03,99.67,100.12,99.96,99.89,100.29,100.0,100.96,100.75,100.58,99.99,100.59,100.27,100.87,99.99,100.81,99.31,101.01,99.69,100.44,101.05,100.41,100.1,100.3,100.1,100.3
01.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",100.67,100.97,100.23,100.35,100.11,100.18,100.05,99.9,100.32,100.99,100.93,99.39,101.26,100.82,101.12,100.25,100.29,101.36,99.46,99.97,100.14,99.94,100.54,100.04,100.3,100.1,100.3,100.0
01.16.1,"Pirojki, ponchik (goʻshtli pirojkidan tashqari)","Пирожки, пончики (кроме пирожков с мясом)",Pirozhki and doughnuts (excluding meat pirozhki),"Пирожки, пончик (гўштли пирожкидан ташқари)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,104.1
01.17,Pechenye,Печенье,Cookies,Печене,103.03,100.48,99.54,102.41,98.47,100.49,99.78,101.18,101.04,101.07,99.08,98.89,100.2,100.01,100.31,100.28,100.48,100.66,99.42,100.22,100.68,100.53,99.81,100.54,100.1,99.9,100.6,100.3
01.18,Vafli,Вафли,Wafers,Вафли,102.17,98.78,100.07,102.79,99.23,100.0,99.72,100.88,100.39,101.17,100.1,100.33,100.94,100.73,100.06,99.99,100.16,100.57,99.94,100.49,101.99,100.67,100.58,100.05,100.5,100.0,100.3,100.0
01.19,Pryaniklar,Пряники,Gingerbread,Пряниклар,100.28,100.0,100.15,105.45,100.0,100.0,100.0,101.36,100.0,101.3,100.92,99.44,101.12,100.58,100.56,100.28,100.88,100.0,99.74,100.0,100.0,100.56,100.89,100.21,101.0,100.0,101.1,100.3
01.20,Tortlar,Торты,Cakes,Тортлар,101.83,100.14,100.34,102.2,100.16,100.41,100.09,101.71,100.74,100.87,100.85,99.29,100.44,100.74,99.95,100.77,100.84,99.9,99.72,100.44,99.41,100.49,100.3,99.66,101.1,100.5,102.0,99.6
01.21,Turli xil pirojniylar,Пирожные разных видов,Pastries of various types,Турли хил пирожнийлар,101.82,101.83,100.98,102.46,100.0,100.0,99.93,99.9,100.17,100.48,99.99,99.5,99.53,100.46,101.18,100.0,100.6,100.9,100.33,100.59,100.66,100.51,100.0,101.27,100.1,100.8,100.0,100.1
01.22,Kekslar,Кексы,Cupcakes,Кекслар,100.13,101.14,99.47,99.09,99.2,99.93,100.01,100.0,100.84,101.62,101.81,99.72,100.12,100.58,100.18,100.66,100.64,100.98,100.94,100.51,99.99,101.89,99.6,100.64,100.3,100.0,100.0,100.3
01.23,Korjiklar,Коржики,Biscuits,Коржиклар,100.0,100.0,100.0,100.25,100.0,100.0,100.0,100.0,100.59,101.77,101.14,100.59,101.49,100.66,99.87,100.45,100.0,100.9,100.14,100.18,101.67,101.63,100.51,99.71,0.0,0.0,0.0,0.0
01.24,Chak chak,Чак чак,Chak-chak,Чак чак,100.0,100.67,100.0,100.0,100.35,100.0,100.0,100.68,100.3,101.51,100.5,101.38,100.84,100.35,99.78,101.7,100.0,101.26,100.75,100.4,100.0,100.0,100.0,100.76,101.2,100.0,100.0,101.0
