Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,1039575.9,1068094.6,1062096.3,1132677.2,1168203.7,1180172.4,1187076.1,1354168.4,1675210.1,1602454.8,1667556.3,1727163.6,2006142.0,1872073.5,1855377.0,1913894.5,2197366.2,2181863.0,2144213.5,2268154.4,2652398.7,2691053.2,2697520.9,2775764.8,2992297.4,3089162.1,3078087.1,3137023.0,3402523.6,3389105.0,3303314.2,3488643.3,3887131.8,3910146.9,4058644.7,4302184.2,4416129.5
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,1092654.4,1106702.4,1121665.0,1195065.7,1295009.9,1331567.7,1348793.2,1463744.3,1702172.5,1716790.3,1769319.2,1853828.9,2169985.8,2172091.2,2064300.7,1939215.1,2005844.5,2037038.1,2023072.9,2134470.8,2262439.5,2268103.9,2364049.3,2413667.6,2466341.8,2503728.8,2525812.6,2581034.9,2917738.5,2762133.2,2777454.4,2881810.7,3363957.9,3415755.7,3469037.0,3616563.8,3826236.7
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1280835.1,1300107.5,1368143.8,1407179.6,1468232.5,1503258.6,1579152.4,1710118.1,1917340.7,1929418.6,2021774.3,2113351.9,2404121.4,2418235.3,2408693.3,2440380.1,2610770.5,2675155.9,2691908.6,2864930.2,2977059.4,3061587.7,3201404.4,3319712.5,3491538.5,3720473.1,3797866.6,3879852.4,4018941.6,4171878.5,4190761.1,4344587.2,4730457.2,4806758.7,4933987.9,5093118.1,5472055.5
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,1309376.9,1333826.3,1386646.3,1362876.1,1462357.8,1518169.9,1594159.0,1738424.1,1970405.4,2011966.1,2152398.9,2274912.3,2516827.8,2484308.9,2515398.8,2572514.7,2791988.7,2936465.6,2980203.5,3173596.7,3374340.7,3554523.4,3717695.9,3867548.5,4073240.3,4377565.4,4438836.9,4534064.1,4726994.2,5019562.3,5018015.8,5236765.4,5749949.6,5928230.2,6069261.5,6280864.6,6868433.6
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,1668643.5,1684839.6,1796944.2,1860856.6,1985966.8,2035537.5,2205323.0,2385722.1,2746676.4,2727657.9,2861274.4,2968814.8,3232918.8,3127732.5,3137862.4,3271252.0,3857112.0,3871144.3,3938572.1,4294768.8,4304853.2,4458592.8,4729741.9,4891138.8,5321467.4,5576933.1,5698231.4,5903277.1,5791889.2,6264866.9,6356813.9,6434357.0,6696597.1,7048926.1,7270084.5,7225376.5,7888679.3
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,1247034.0,1227578.4,1283983.1,1323564.6,1373113.1,1364944.9,1413980.2,1533953.6,1704470.0,1689567.8,1781098.9,1832309.8,2031988.3,1985416.3,1905749.0,1938430.0,2147104.3,2167368.5,2139725.5,2347221.5,2566340.2,2640154.7,2624871.7,2675886.0,2869911.7,3083812.1,3198712.0,3253833.3,3462692.4,3363488.1,3381510.9,3445855.0,3611888.7,3611391.6,3635692.3,3740743.1,3684147.5
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,969609.9,933754.6,975686.1,1060871.5,1267808.4,1278403.6,1306966.9,1445894.0,1712172.0,1685291.0,1757811.7,1838195.1,2108060.2,2045738.7,2076319.9,2103693.3,2379414.4,2364571.1,2407991.4,2516388.9,2187471.6,2247207.3,2270143.3,2429952.0,2522935.4,3021613.0,3018383.3,3108936.9,3409846.3,3505541.6,3401499.6,3475909.1,3928056.2,3976614.3,4055793.5,4197007.7,4155975.5
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Вобкент тумани,1019776.2,1020058.4,1032208.0,1086702.5,1166312.6,1188896.4,1224418.2,1298758.3,1542668.3,1528809.6,1575104.8,1650974.3,1807656.9,1751824.8,1734486.3,1732626.3,1778291.4,1814879.5,1843309.3,1904508.7,1993875.9,2094028.8,2236414.8,2301495.1,2386413.3,2493983.3,2577696.0,2651309.0,2760412.6,2830638.3,3058986.9,3168269.1,3185988.6,3090592.0,3214673.6,3486980.4,3513349.1
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,1037055.0,1032093.3,1052011.4,1125700.8,1230381.1,1220280.4,1264409.1,1375025.7,1698025.9,1660934.4,1727474.8,1785303.1,1992759.1,1920337.9,1930045.6,1942081.9,2110125.6,2297378.9,2195001.0,2266485.4,2341013.5,2367435.8,2457581.0,2543064.4,2603004.1,2752050.7,2811297.0,2907755.7,3038456.7,3108548.1,3088095.1,3219823.0,3429254.3,3520153.9,3712416.7,3702148.9,4047528.6
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,1071221.1,1147939.1,1229277.0,1331595.9,1315484.0,1320212.9,1368969.5,1529607.8,1569569.0,1632988.4,1784694.6,1845877.8,2215540.9,2277888.4,2416983.0,2501316.7,2412509.6,2378970.4,2394386.9,2538377.7,2382607.2,2390824.1,2525288.6,2571320.7,2699472.7,3336790.9,3387164.5,3376661.1,3636176.5,3544404.6,3553045.1,3691245.2,5513721.7,4741171.7,4614419.5,4711587.4,5648223.5
