Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,2377.0,2462.0,2499.0,2682.0,2778.0,2732.0,2519.0,2532.0,2572.0,2591.0,2490.0,2418.0,2412.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,284236.0,297040.0,305259.0,309204.0,315496.0,319118.0,321598.0,321209.0,323490.0,318763.0,311748.0,301034.0,295632.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,26697.0,26875.0,26553.0,25587.0,25620.0,25510.0,25564.0,25746.0,26082.0,25844.0,24815.0,24065.0,23526.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,14158.0,14403.0,14483.0,15350.0,15638.0,14666.0,14202.0,13683.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14482.0,14390.0,14342.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,17647.0,17796.0,18024.0,18089.0,18368.0,18505.0,19065.0,19156.0,19521.0,19432.0,19342.0,18774.0,18643.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,12574.0,13347.0,13750.0,14477.0,15162.0,15710.0,15434.0,15485.0,15160.0,14848.0,13907.0,13281.0,12766.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,23477.0,25311.0,26729.0,27319.0,27888.0,28561.0,28587.0,27801.0,28212.0,27473.0,27008.0,25520.0,24845.0
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,21454.0,21921.0,22319.0,22245.0,22695.0,22625.0,22844.0,23056.0,24099.0,24081.0,23779.0,22910.0,22528.0
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,24098.0,25055.0,26117.0,27102.0,27519.0,27835.0,28275.0,28501.0,28942.0,28781.0,28711.0,28426.0,28238.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,22309.0,23945.0,24972.0,25581.0,26067.0,26271.0,26533.0,26254.0,26032.0,25340.0,24272.0,23172.0,22139.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,10801.0,11183.0,11563.0,11664.0,11924.0,12318.0,12383.0,12396.0,12627.0,12724.0,12384.0,11741.0,11360.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,7812.0,7883.0,7935.0,7819.0,8112.0,8348.0,8531.0,8587.0,8525.0,7993.0,7962.0,7979.0,7735.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,12638.0,13600.0,14457.0,14798.0,14990.0,15098.0,14660.0,14646.0,14732.0,14726.0,14347.0,14199.0,13626.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,17672.0,19003.0,19932.0,20500.0,20924.0,20735.0,20797.0,20514.0,20673.0,20152.0,20220.0,19482.0,18828.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,33900.0,34264.0,34735.0,34594.0,35301.0,35392.0,35590.0,35113.0,34930.0,33973.0,19099.0,19009.0,19637.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,30986.0,33789.0,34624.0,35950.0,36925.0,23388.0,23963.0,24223.0,23477.0,23183.0,23219.0,20780.0,20695.0
