nace_code,activity_en,energy_efficiency_pct,fuel_share_pct,electricity_share_pct,heat_share_pct,source,source_url
80,Деятельность по обеспечению безопасности и расследованиям,Security and Investigations Activities,0.10453592065351794,1.3726426354738601,98.62735736452613,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
81,Деятельность по обслуживанию зданий и благоустройству ландшафта,Service of buildings and landscaping activities,1.9861222684620075,32.18943211241934,65.66301243180537,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
82,"Деятельность в области административно-управленческого, хозяйственного и прочего вспомогательного обслуживания","Activities in the field of administrative and managerial, economic and other support services",1.0466300276678768,64.60327967217565,33.852276923846794,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
84,Государственное управление и оборона; обязательное социальное обеспечение,State administration and defense; Mandatory social security,6.131956076472385,20.26712287993893,65.63128664748902,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
85,Образование,Education,1.108375297771721,25.478179792016974,70.6901528536119,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
86,Деятельность в области здравоохранения,Health Activities,3.264792307607086,18.239104548702073,77.8538373230081,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
87,Предоставление ухода с обеспечением проживания,The provision of residential care,7.756265554177477,6.3178260233938595,93.58777777133359,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
88,Предоставление социальных услуг без обеспечения проживания,Providing social services without ensuring,0.7618939650076203,24.908146408454908,72.64454749915411,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
90,"Деятельность в области творчества, искусства и развлечений","Activities in the field of creativity, art and entertainment",0.2897818069287572,8.16911424812431,78.34512676456993,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
91,"Деятельность библиотек, архивов, музеев и других учреждений культуры","The activities of libraries, archives, museums and other cultural institutions",1.6568629858543416,21.938537545993196,68.86800601150478,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
93,"Деятельность в области спорта, организации отдыха и развлечений","The activities in the field of sports, recreation and entertainment organizations",5.6600798462477915,6.141351846678134,91.92646607888575,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
94,Деятельность членских организаций,The activities of membership organizations,1.7748807399584867,0.0,100.0,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
95,"Ремонт компьютеров, предметов личного пользования и бытовых товаров","Repair of computers, personal items and household goods",1.6529639930168987,22.302958501717104,77.23686954605958,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
96,Предоставление прочих индивидуальных услуг,Providing other individual services,2.3326939301209744,22.075564197021688,74.04212060082506,UzStat — Energy efficiency by economic activity 2024 (preliminary),https://stat.uz/en/official-statistics/energy-efficiency-and-fuel-balance
