id,file,n_rows,n_meta_cols,n_time,t_start,t_end,monthly,uzb,kaz,kgz,tjk,tkm,n_unique_entities,first_entity,error
1280,sdmx_data_1280.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1281,sdmx_data_1281.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1282,sdmx_data_1282.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1283,sdmx_data_1283.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1284,sdmx_data_1284.csv,15,5,10,2015,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1285,sdmx_data_1285.csv,28,5,132,2010-М01,2020-М12,False,0,0,0,0,0,28,Cumulative index,
1286,sdmx_data_1286.csv,17,5,64,2021-M01,2026-M04,True,0,0,0,0,0,17,Cumulative index,
1287,sdmx_data_1287.csv,28,5,11,2010,2020,False,0,0,0,0,0,28,Cumulative index,
1288,sdmx_data_1288.csv,17,5,6,2021,2026,False,0,0,0,0,0,17,Cumulative index,
1289,sdmx_data_1289.csv,27,5,11,2010,2020,False,0,0,0,0,0,27,Cumulative index,
1290,sdmx_data_1290.csv,17,5,5,2021,2025,False,0,0,0,0,0,17,Cumulative index,
1291,sdmx_data_1291.csv,27,5,11,2010,2020,False,0,0,0,0,0,27,Cumulative index,
1292,sdmx_data_1292.csv,17,5,5,2021,2025,False,0,0,0,0,0,17,Cumulative index,
1294,sdmx_data_1294.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1295,sdmx_data_1295.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1296,sdmx_data_1296.csv,3,5,124,2016-М01,2026-M04,False,0,0,0,0,0,3,J. INFORMATION AND COMMUNICATION,
1297,sdmx_data_1297.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1298,sdmx_data_1298.csv,1,5,26,2000,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1301,sdmx_data_1301.csv,64,5,196,2010-М01,2026-M04,False,0,0,0,0,0,62,Composite index,
1302,sdmx_data_1302.csv,1,5,16,2010,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1303,sdmx_data_1303.csv,1,5,16,2010,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1305,sdmx_data_1305.csv,15,5,17,2022-Q1,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1306,sdmx_data_1306.csv,15,5,24,2020-Q2,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1307,sdmx_data_1307.csv,15,5,24,2020-Q2,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1308,sdmx_data_1308.csv,41,5,64,2021-М01,2026-M04,False,0,0,0,0,0,41,Rice,
1310,sdmx_data_1310.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1311,sdmx_data_1311.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1313,sdmx_data_1313.csv,221,5,16,2010,2025,False,1,0,0,0,0,221,Republic of Uzbekistan,
1314,sdmx_data_1314.csv,116,5,87,2019-М01,2026-M03,False,0,0,0,0,0,115,Composite index,
1315,sdmx_data_1315.csv,19,5,16,2010,2025,False,0,0,0,0,0,19,"Agriculture, forestry and fisheries",
1317,sdmx_data_1317.csv,1,5,16,2010,2025,False,1,0,0,0,0,1,Republic of Uzbekistan,
1320,sdmx_data_1320.csv,116,5,87,2019-М01,2026-M03,False,0,0,0,0,0,115,Composite index,
1321,sdmx_data_1321.csv,115,5,7,2019,2025,False,0,0,0,0,0,114,Composite index,
1323,sdmx_data_1323.csv,116,5,7,2019,2025,False,0,0,0,0,0,115,Composite index,
1325,sdmx_data_1325.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1326,sdmx_data_1326.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1327,sdmx_data_1327.csv,41,5,160,2013-М01,2026-М04,False,0,0,0,0,0,41,Rice,
1328,sdmx_data_1328.csv,221,5,15,2010,2024,False,1,0,0,0,0,221,Republic of Uzbekistan,
1329,sdmx_data_1329.csv,42,5,64,2021-М01,2026-M04,False,0,0,0,0,0,42,Rice,
1331,sdmx_data_1331.csv,15,5,25,2020-Q1,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1332,sdmx_data_1332.csv,15,5,25,2020-Q1,2026-Q1,False,1,0,0,0,0,15,Republic of Uzbekistan,
1333,sdmx_data_1333.csv,15,5,16,2010,2025,False,1,0,0,0,0,15,Republic of Uzbekistan,
1334,sdmx_data_1334.csv,15,5,25,2000,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1336,sdmx_data_1336.csv,15,5,25,2000,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1337,sdmx_data_1337.csv,15,5,25,2000,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1338,sdmx_data_1338.csv,15,5,25,2000,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1339,sdmx_data_1339.csv,15,5,25,2000,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1340,sdmx_data_1340.csv,1,5,25,2000,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1341,sdmx_data_1341.csv,1,5,25,2000,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1342,sdmx_data_1342.csv,1,5,25,2000,2024,False,1,0,0,0,0,1,Republic of Uzbekistan,
1439,sdmx_data_1439.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1451,sdmx_data_1451.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1453,sdmx_data_1453.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1454,sdmx_data_1454.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1455,sdmx_data_1455.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1456,sdmx_data_1456.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1458,sdmx_data_1458.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1459,sdmx_data_1459.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1460,sdmx_data_1460.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1461,sdmx_data_1461.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1463,sdmx_data_1463.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
1464,sdmx_data_1464.csv,15,5,15,2010,2024,False,1,0,0,0,0,15,Republic of Uzbekistan,
