"Public Investments (2022 Million USD) by Country/area, Technology and Year"

"Country/area","Technology","Year",Public Investments (2022 Million USD)
"Uzbekistan","Solar thermal energy","2000",-
"Uzbekistan","Solar thermal energy","2001",-
"Uzbekistan","Solar thermal energy","2002",-
"Uzbekistan","Solar thermal energy","2003",-
"Uzbekistan","Solar thermal energy","2004",-
"Uzbekistan","Solar thermal energy","2005",-
"Uzbekistan","Solar thermal energy","2006",-
"Uzbekistan","Solar thermal energy","2007",-
"Uzbekistan","Solar thermal energy","2008",-
"Uzbekistan","Solar thermal energy","2009",-
"Uzbekistan","Solar thermal energy","2010",-
"Uzbekistan","Solar thermal energy","2011",-
"Uzbekistan","Solar thermal energy","2012",-
"Uzbekistan","Solar thermal energy","2013",-
"Uzbekistan","Solar thermal energy","2014",-
"Uzbekistan","Solar thermal energy","2015",-
"Uzbekistan","Solar thermal energy","2016",-
"Uzbekistan","Solar thermal energy","2017",-
"Uzbekistan","Solar thermal energy","2018",-
"Uzbekistan","Solar thermal energy","2019",-
"Uzbekistan","Solar thermal energy","2020",-
"Uzbekistan","Solar thermal energy","2021",-
"Uzbekistan","Solar thermal energy","2022",135.85
"Uzbekistan","Solar thermal energy","2023",-
"Uzbekistan","Concentrated solar power","2000",-
"Uzbekistan","Concentrated solar power","2001",-
"Uzbekistan","Concentrated solar power","2002",-
"Uzbekistan","Concentrated solar power","2003",-
"Uzbekistan","Concentrated solar power","2004",-
"Uzbekistan","Concentrated solar power","2005",-
"Uzbekistan","Concentrated solar power","2006",-
"Uzbekistan","Concentrated solar power","2007",-
"Uzbekistan","Concentrated solar power","2008",-
"Uzbekistan","Concentrated solar power","2009",-
"Uzbekistan","Concentrated solar power","2010",-
"Uzbekistan","Concentrated solar power","2011",-
"Uzbekistan","Concentrated solar power","2012",-
"Uzbekistan","Concentrated solar power","2013",-
"Uzbekistan","Concentrated solar power","2014",-
"Uzbekistan","Concentrated solar power","2015",-
"Uzbekistan","Concentrated solar power","2016",-
"Uzbekistan","Concentrated solar power","2017",-
"Uzbekistan","Concentrated solar power","2018",-
"Uzbekistan","Concentrated solar power","2019",-
"Uzbekistan","Concentrated solar power","2020",-
"Uzbekistan","Concentrated solar power","2021",-
"Uzbekistan","Concentrated solar power","2022",-
"Uzbekistan","Concentrated solar power","2023",-
"Uzbekistan","Onshore wind energy","2000",-
"Uzbekistan","Onshore wind energy","2001",-
"Uzbekistan","Onshore wind energy","2002",-
"Uzbekistan","Onshore wind energy","2003",-
"Uzbekistan","Onshore wind energy","2004",-
"Uzbekistan","Onshore wind energy","2005",-
"Uzbekistan","Onshore wind energy","2006",-
"Uzbekistan","Onshore wind energy","2007",-
"Uzbekistan","Onshore wind energy","2008",-
"Uzbekistan","Onshore wind energy","2009",-
"Uzbekistan","Onshore wind energy","2010",-
"Uzbekistan","Onshore wind energy","2011",-
"Uzbekistan","Onshore wind energy","2012",-
"Uzbekistan","Onshore wind energy","2013",-
"Uzbekistan","Onshore wind energy","2014",-
"Uzbekistan","Onshore wind energy","2015",-
"Uzbekistan","Onshore wind energy","2016",-
"Uzbekistan","Onshore wind energy","2017",-
"Uzbekistan","Onshore wind energy","2018",-
"Uzbekistan","Onshore wind energy","2019",-
"Uzbekistan","Onshore wind energy","2020",-
"Uzbekistan","Onshore wind energy","2021",-
"Uzbekistan","Onshore wind energy","2022",582.39
"Uzbekistan","Onshore wind energy","2023",245.64
"Uzbekistan","Offshore wind energy","2000",-
"Uzbekistan","Offshore wind energy","2001",-
"Uzbekistan","Offshore wind energy","2002",-
"Uzbekistan","Offshore wind energy","2003",-
"Uzbekistan","Offshore wind energy","2004",-
"Uzbekistan","Offshore wind energy","2005",-
"Uzbekistan","Offshore wind energy","2006",-
"Uzbekistan","Offshore wind energy","2007",-
"Uzbekistan","Offshore wind energy","2008",-
"Uzbekistan","Offshore wind energy","2009",-
"Uzbekistan","Offshore wind energy","2010",-
"Uzbekistan","Offshore wind energy","2011",-
"Uzbekistan","Offshore wind energy","2012",-
"Uzbekistan","Offshore wind energy","2013",-
"Uzbekistan","Offshore wind energy","2014",-
"Uzbekistan","Offshore wind energy","2015",-
"Uzbekistan","Offshore wind energy","2016",-
"Uzbekistan","Offshore wind energy","2017",-
"Uzbekistan","Offshore wind energy","2018",-
"Uzbekistan","Offshore wind energy","2019",-
"Uzbekistan","Offshore wind energy","2020",-
