"Heat generation (TJ) by Country/area, Technology, Grid connection and Year"

"Country/area","Technology","Grid connection","Year",Heat generation (TJ)
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Solar thermal energy","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2000",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2001",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2002",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2003",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2004",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2005",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2006",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2007",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2008",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2009",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2010",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2011",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2012",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2013",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2014",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2015",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2016",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2017",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2018",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2019",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2020",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2021",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2022",-
"Uzbekistan","Solid biofuels","Heat (Commercial)","2023",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2019",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2020",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2021",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2022",-
"Uzbekistan","Solid biofuels","Combined Heat and Power (CHP)","2023",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2000",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2001",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2002",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2003",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2004",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2005",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2006",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2007",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2008",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2009",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2010",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2011",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2012",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2013",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2014",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2015",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2016",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2017",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2018",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2019",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2020",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2021",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2022",-
"Uzbekistan","Renewable municipal waste","Heat (Commercial)","2023",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2000",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2001",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2002",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2003",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2004",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2005",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2006",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2007",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2008",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2009",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2010",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2011",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2012",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2013",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2014",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2015",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2016",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2017",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2018",-
"Uzbekistan","Renewable municipal waste","Combined Heat and Power (CHP)","2019",-
